course_id,course_name,campus,course_type,time_slot,capacity,current_enrollment,available_grades
C001,高等数学,双校区,普通必修,周一1-2节,72,45,大一|大二
C002,大学英语,双校区,普通必修,周一3-4节,80,54,大一|大二
C003,大学物理,新校区,普通必修,周一5-6节,88,63,大一|大二
C004,思想政治理论,双校区,普通必修,周二1-2节,96,74,大一|大二
C005,线性代数,新校区,普通必修,周二3-4节,104,64,大一|大二
C006,程序设计导论,双校区,普通必修,周二5-6节,112,75,大一|大二
C007,学术写作,双校区,普通必修,周三1-2节,72,52,大一|大二
C008,中国近现代史纲要,新校区,普通必修,周三3-4节,80,62,大一|大二
C009,概率统计,双校区,普通必修,周三5-6节,88,55,大一|大二
C010,大学语文,新校区,普通必修,周四1-2节,96,64,大一|大二
C011,计算思维基础,双校区,普通必修,周四3-4节,104,75,大一|大二
C012,工程伦理,双校区,普通必修,周四5-6节,112,86,大一|大二
C013,社会科学方法,老校区,普通必修,周五1-2节,72,45,大二|大三
C014,逻辑学基础,老校区,普通必修,周五3-4节,80,54,大二|大三
C015,宏观经济学基础,老校区,普通必修,周五5-6节,88,63,大二|大三
C016,微观经济学基础,老校区,普通必修,周一1-2节,96,74,大二|大三
C017,公共管理导论,老校区,普通必修,周一3-4节,104,64,大二|大三
C018,法学导论,老校区,普通必修,周一5-6节,112,75,大二|大三
C019,政治学原理,双校区,普通必修,周二1-2节,72,52,大二|大三
C020,数据素养基础,双校区,普通必修,周二3-4节,80,62,大二|大三
C021,数据库基础,双校区,普通必修,周二5-6节,88,55,大二|大三
C022,离散数学,双校区,普通必修,周三1-2节,96,64,大二|大三
C023,数理逻辑,老校区,普通必修,周三3-4节,104,75,大三|大四
C024,社会调查方法,老校区,普通必修,周三5-6节,112,86,大三|大四
C025,统计软件应用,老校区,普通必修,周四1-2节,72,45,大三|大四
C026,计算机网络基础,老校区,普通必修,周四3-4节,80,54,大三|大四
C027,多元统计,双校区,普通必修,周四5-6节,88,63,大二|大三|大四
C028,机器学习基础,双校区,普通必修,周五1-2节,96,74,大二|大三|大四
C029,程序设计实践,双校区,普通必修,周五3-4节,104,64,大二|大三|大四
C030,系统分析导论,老校区,普通必修,周五5-6节,112,75,大三|大四
C031,公共政策概论,老校区,普通必修,周一1-2节,72,52,大三|大四
C032,国际关系概论,老校区,普通必修,周一3-4节,80,62,大三|大四
C033,西方哲学导论,老校区,普通必修,周一5-6节,88,55,大三|大四
C034,伦理学导论,老校区,普通必修,周二1-2节,96,64,大三|大四
C035,算法基础,双校区,普通必修,周二3-4节,104,75,大二|大三
C036,信息检索方法,双校区,普通必修,周二5-6节,112,86,大二|大三
C037,研究方法训练,双校区,普通必修,周三1-2节,72,45,大二|大三
C038,专业综合实践,老校区,普通必修,周三3-4节,80,54,大三|大四
C039,学术规范与论文写作,双校区,普通必修,周三5-6节,88,63,大三|大四
C040,毕业专题研讨,双校区,普通必修,周四1-2节,96,74,大四
C041,人工智能通识,双校区,普通选修,周二5-6节,36,18,大一|大二|大三|大四
C042,数据分析入门,新校区,普通选修,周三1-2节,42,24,大一|大二|大三|大四
C043,经济学导论,老校区,普通选修,周三3-4节,48,31,大二|大三|大四
C044,公共表达与写作,双校区,普通选修,周三5-6节,54,38,大一|大二|大三|大四
C045,心理学导论,新校区,普通选修,周四1-2节,60,47,大一|大二|大三|大四
C046,创新创业基础,双校区,普通选修,周四3-4节,66,33,大一|大二|大三|大四
C047,社会学导论,老校区,普通选修,周四5-6节,72,41,大二|大三|大四
C048,管理学导论,双校区,普通选修,周五1-2节,36,23,大一|大二|大三|大四
C049,跨文化沟通,双校区,普通选修,周五3-4节,42,30,大一|大二|大三|大四
C050,科技与社会,双校区,普通选修,周五5-6节,48,37,大一|大二|大三|大四
C051,艺术鉴赏,新校区,普通选修,周一1-2节,54,27,大一|大二|大三|大四
C052,环境与可持续发展,双校区,普通选修,周一3-4节,60,34,大一|大二|大三|大四
C053,国际新闻导读,双校区,普通选修,周一5-6节,66,42,大二|大三|大四
C054,Python数据分析,新校区,普通选修,周二1-2节,72,51,大一|大二|大三|大四
C055,可视化表达,双校区,普通选修,周二3-4节,36,28,大二|大三|大四
C056,金融基础,老校区,普通选修,周二5-6节,42,21,大二|大三|大四
C057,博弈论入门,双校区,普通选修,周三1-2节,48,27,大二|大三|大四
C058,行为经济学,老校区,普通选修,周三3-4节,54,35,大二|大三|大四
C059,公共预算基础,双校区,普通选修,周三5-6节,60,43,大二|大三|大四
